ADDR_ID, LAT, LON, HUISNR, STRAAT_ID, STRAATNM, POSTCODE, NISCODE, GEM_NAAM, MATCH_NIS, MATCH_GEM
2003221569, 51.0256344424, 4.36936438581, 25, 27006, Trieststraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221536, 51.0163670489, 4.34174698696, 106, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221544, 51.0163670489, 4.34174698696, 46, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221552, 51.0163670489, 4.34174698696, 62B, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221560, 51.0163670489, 4.34174698696, 88, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221568, 51.0256344424, 4.36936438581, 15, 27006, Trieststraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221565, 51.0295866895, 4.37674662658, 186, 26970, Moerstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221573, 51.0270444718, 4.34047565708, 147B, 140102, Beekstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003326629, 51.1706487916, 4.42851072979, 28, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326788, 51.1706487916, 4.42851072979, 46, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326637, 51.1706487916, 4.42851072979, 16, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326656, 51.1706487916, 4.42851072979, 30, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326719, 51.1550055886, 4.48389821919, 44, 140395, Grensstraat, 2540, 11004, Boechout, 11021, Hove
2003327003, 51.1550055886, 4.48389821919, 40, 140395, Grensstraat, 2540, 11004, Boechout, 11021, Hove
2003326628, 51.1706487916, 4.42851072979, 24, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326649, 51.1706487916, 4.42851072979, 44, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326787, 51.1706487916, 4.42851072979, 4, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
2003326991, 51.1550055886, 4.48389821919, 28, 140395, Grensstraat, 2540, 11004, Boechout, 11021, Hove
2003327001, 51.1550055886, 4.48389821919, 46, 140395, Grensstraat, 2540, 11004, Boechout, 11021, Hove
2003327067, 51.1550055886, 4.48389821919, 26, 140395, Grensstraat, 2540, 11004, Boechout, 11021, Hove
2003326626, 51.1706487916, 4.42851072979, 18, 604, De Burletlaan, 2650, 11002, Antwerpen, 11013, Edegem
